Serial Number	Organization	Country	Not Before	Not After	Common Name	Subject Alternative Name																								
1118209	home1	RU	2022-03-01T23:19:46Z	2023-04-05T23:19:46Z	zabbix.ythm.ru	zabbix.ythm.ru																								
1118212	VTB Bank (PJSC)	RU	2022-03-04T14:59:21Z	2023-03-04T14:59:21Z	online-alpha.vtb.ru	online-alpha.vtb.ru																								
1118213	ythm	RU	2022-03-04T22:29:21Z	2023-03-04T22:29:21Z	ythm.ru	*.ythm.ru																								
1118216	Sberbank of Russia PJSC	RU	2022-03-04T23:02:48Z	2023-03-04T23:02:48Z	sbbol-ift-psi	iftmobile.testsbi.sberbank.ru	bf2.testsbi.sberbank.ru	ift2.testsbi.sberbank.ru	iftfintech.testsbi.sberbank.ru	ift2upg.testsbi.sberbank.ru	ift2demo.testsbi.sberbank.ru	sbi.sbbolmobiletest.sberbank.ru	psi.sbbolmobiletest.sberbank.ru	bfedupir.testsbi.sberbank.ru	edupir.testsbi.sberbank.ru	edupirsms.testsbi.sberbank.ru	edupirupg2.testsbi.sberbank.ru	edupirfintech.sberbank.ru	psisbbauto.sberbank.ru											
1118217	The Central Bank of the Russian Federation	RU	2022-03-05T09:47:09Z	2023-03-05T09:47:09Z	*.cbr.ru	cbr.ru	*.cbr.ru																							
1118218	The Central Bank of the Russian Federation	RU	2022-03-05T09:47:39Z	2023-03-05T09:47:39Z	xn----7sbbdrzkdqce2az7c0eo.xn--p1ai	xn----7sbbdrzkdqce2az7c0eo.xn--p1ai																								
1118302	BRATSK.CITY LIMITED LIABILITY COMPANY	RU	2022-03-09T10:29:55Z	2023-03-09T10:29:55Z	*.BRATSK.CITY	bratsk.city	*.bratsk.city																							
1118321	VTB Bank (PJSC)	RU	2022-03-09T11:25:02Z	2023-03-09T11:25:02Z	bo-gate-api.vtb.ru	bo-gate-api.vtb.ru	www.bo-gate-api.vtb.ru																							
1118322	VTB Bank (PJSC)	RU	2022-03-09T11:25:03Z	2023-03-09T11:25:03Z	bo.vtb.ru	bo.vtb.ru	bo.vtb24.ru	bco.vtb24.ru																						
1118339	VTB Bank (PJSC)	RU	2022-03-09T11:25:16Z	2023-03-09T11:25:16Z	komission.vtb.ru																									
1118348	VTB Bank (PJSC)	RU	2022-03-09T11:25:24Z	2023-03-09T11:25:24Z	mobi1.vtb24.ru	mobi1.vtb24.ru	mobi2.vtb24.ru	testmi1.vtb24.ru	testmi2.vtb24.ru	testmi3.vtb24.ru	mi-core-spz.vtb24.ru	mi-sentry-spz.vtb24.ru	mi-core-bbo.vtb24.ru	mi-sentry-bbo.vtb24.ru	ksm-sentry.vtb24.ru															
1118370	VTB Bank (PJSC)	RU	2022-03-09T11:25:45Z	2023-03-09T11:25:45Z	webquikdemo.vtb.ru																									
1118375	Sberbank of Russia	RU	2022-03-11T09:52:28Z	2023-03-11T09:52:28Z	acs25.sbrf.ru	acs25.sbrf.ru																								
1118400	Sberbank of Russia	RU	2022-03-11T18:59:45Z	2023-03-11T18:59:45Z	ufscs.psi.sberbank.ru																									
1118406	Sberbank	RU	2022-03-11T18:59:51Z	2023-03-11T18:59:51Z	dev4.webquik-test.sberbank.ru																									
1118417	Sberbank	RU	2022-03-11T19:00:02Z	2023-03-11T19:00:02Z	web-si20-uat.mobile-sbe-dev.sbrf.ru	auth-si20-uat.mobile-sbe-dev.sbrf.ru	web-si20-uat.mobile-sbe-dev.sbrf.ru																							
